"First Name","Last Name","Gender","Age","Email","Phone","Education","Occupation","Experience (Years)","Salary","Marital Status","Number of Children"
"April","Allen","Female","24","a.allen@randatmail.com","297-5492-48","Master","Programmer","12","7923","Married","5"
"Vincent","Rogers","Male","29","v.rogers@randatmail.com","153-7871-32","Primary","Interpreter","5","4206","Single","5"
"Leonardo","Adams","Male","29","l.adams@randatmail.com","863-6436-97","Master","Firefighter","12","1437","Single","0"
"Brianna","Murray","Female","27","b.murray@randatmail.com","672-9103-78","Bachelor","Social Worker","9","9254","Single","0"
"Ted","Rogers","Male","18","t.rogers@randatmail.com","382-3556-85","Master","Graphic Designer","7","1426","Single","1"
"Carina","Sullivan","Female","24","c.sullivan@randatmail.com","076-0750-43","Primary","Insurer","8","3605","Single","4"
"Ellia","Martin","Female","22","e.martin@randatmail.com","141-2367-62","Upper secondary","Jeweller","2","4733","Single","4"
"Henry","Anderson","Male","19","h.anderson@randatmail.com","606-2367-04","Lower secondary","Social Worker","0","8685","Single","0"
"Lydia","Nelson","Female","19","l.nelson@randatmail.com","138-8194-76","Master","Dancer","4","9086","Married","4"
"April","Cooper","Female","21","a.cooper@randatmail.com","712-1581-71","Primary","Auditor","4","8782","Married","4"
"Aston","Stewart","Male","28","a.stewart@randatmail.com","287-2769-41","Master","Driver","5","8983","Single","3"
"Lucia","Ferguson","Female","19","l.ferguson@randatmail.com","982-2850-67","Primary","Manager","6","1049","Married","2"
"Melissa","Douglas","Female","30","m.douglas@randatmail.com","262-4612-91","Primary","Geologist","7","3721","Single","1"
"Eddy","Carroll","Male","27","e.carroll@randatmail.com","534-1955-33","Doctoral","Fine Artist","11","7511","Single","2"
"Rosie","Hall","Female","28","r.hall@randatmail.com","528-2352-60","Doctoral","Social Worker","2","3126","Single","3"
"Steven","Russell","Male","23","s.russell@randatmail.com","413-6420-92","Lower secondary","Singer","1","9436","Single","0"
"Alexia","Baker","Female","22","a.baker@randatmail.com","769-3159-96","Master","Baker","9","4921","Single","4"
"Kellan","Ross","Male","25","k.ross@randatmail.com","734-0845-94","Primary","Firefighter","3","5081","Single","0"
"Miller","Elliott","Male","30","m.elliott@randatmail.com","369-4250-95","Doctoral","Driver","12","7804","Single","4"
"Clark","Clark","Male","26","c.clark@randatmail.com","296-0430-92","Bachelor","Lecturer","1","4039","Married","3"
"Audrey","Alexander","Female","26","a.alexander@randatmail.com","859-3652-52","Upper secondary","Aeroplane Pilot","10","4540","Married","3"
"Aida","Elliott","Female","21","a.elliott@randatmail.com","816-9918-03","Primary","Carpenter","5","3625","Single","5"
"Adele","Ross","Female","20","a.ross@randatmail.com","217-1004-11","Doctoral","Physicist","8","4048","Single","5"
"Sydney","Parker","Female","23","s.parker@randatmail.com","902-3133-61","Upper secondary","Engineer","8","6376","Married","0"
"Lily","Harris","Female","28","l.harris@randatmail.com","859-8308-70","Upper secondary","Lecturer","12","9193","Married","2"
"Henry","Cooper","Male","23","h.cooper@randatmail.com","087-2297-28","Lower secondary","Aeroplane Pilot","1","554","Married","0"
"Grace","Harris","Female","23","g.harris@randatmail.com","501-8664-15","Upper secondary","Chemist","1","817","Single","2"
"Tess","Perkins","Female","26","t.perkins@randatmail.com","376-6538-44","Master","Chef","8","7447","Single","1"
"Haris","Nelson","Male","27","h.nelson@randatmail.com","376-0398-07","Master","Driver","11","1146","Single","5"
"Edwin","Parker","Male","20","e.parker@randatmail.com","198-1482-74","Master","Dancer","8","1932","Single","1"
